日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2025-12-01,月,夕迎え,只津,溝口,車,707,なし,①溝口一花 ②小野凌来 ③寺田菫,17:30,18:40,
2025-12-01,月,朝送り,只津,溝口,車,707,なし,①櫻井麻智 ②溝口一花 ③小野凌来 ④櫻井帆斗 ⑤櫻井斗麻 ⑥寺田菫,7:50,8:40,
2025-12-02,火,夕迎え,只津,溝口,車,707,なし,①櫻井麻智 ②四宮鈴 ③櫻井帆斗 ④櫻井斗麻 ⑤上田千愛 ⑥小野凌来 ⑦松岡蘭 ⑧上田大和 ⑨溝口一花 ⑩寺田菫 ⑪園田葵,17:40,18:40,
2025-12-02,火,朝送り,只津,溝口,車,707,なし,①四宮鈴 ②上田大和 ③溝口一花 ④櫻井麻智 ⑤松岡蘭 ⑥櫻井斗麻 ⑦櫻井帆斗 ⑧小野凌来 ⑨上田千愛 ⑩寺田菫,7:50,8:45,
2025-12-03,水,夕迎え,只津,溝口,車,707,なし,①林夏渚 ②四宮鈴 ③松岡蘭 ④小野凌来 ⑤上田大和 ⑥上田千愛 ⑦溝口一花 ⑧園田葵,17:30,18:40,
2025-12-03,水,朝送り,只津,溝口,車,707,なし,①松岡蘭 ②櫻井麻智 ③櫻井斗麻 ④四宮鈴 ⑤櫻井帆斗 ⑥溝口一花 ⑦上田千愛 ⑧上田大和 ⑨林夏渚 ⑩小野凌来 ⑪園田葵,7:40,8:45,
2025-12-03,水,昼送り,只津,溝口,車,707,なし,①溝口一花,12:40,13:20,
2025-12-04,木,夕迎え,只津,溝口,車,707,なし,①櫻井帆斗 ②上田千愛 ③四宮鈴 ④松岡蘭 ⑤溝口一花 ⑥上田海琴 ⑦小野凌来 ⑧櫻井麻智 ⑨林夏渚 ⑩上田大和 ⑪櫻井斗麻,17:40,18:20,
2025-12-04,木,朝送り,只津,溝口,車,707,なし,①櫻井斗麻 ②上田海琴 ③松岡蘭 ④櫻井麻智 ⑤林夏渚 ⑥上田大和 ⑦溝口一花 ⑧小野凌来 ⑨四宮鈴 ⑩上田千愛,7:50,8:45,
2025-12-05,金,夕迎え,只津,溝口,車,707,なし,①林大希 ②四宮鈴 ③松岡蘭 ④上田千愛 ⑤香村慧 ⑥石神陽菜 ⑦上田大和 ⑧香村快 ⑨林夏渚 ⑩上田海琴,17:40,18:40,
