日付,曜日,送迎区分,送迎職員,介助者,送迎方法,車番,点呼確認による異常,利用者,開始時刻,終了時刻,備考
2025-03-01,土,夕迎え,只津,溝口,車,707,なし,①石神陽菜 ②武田日茉莉 ③溝口一花 ④鈴木応介 ⑤入矢瑠々子 ⑥園田葵,17:30,18:40,
2025-03-01,土,朝送り,只津,溝口,車,707,なし,①石神陽菜 ②入矢瑠々子 ③溝口一花 ④鈴木応介 ⑤武田日茉莉 ⑥園田葵,7:50,8:40,
2025-03-01,土,昼送り,只津,溝口,車,707,なし,①入矢瑠々子,12:40,13:20,
2025-03-02,日,夕迎え,只津,溝口,車,707,なし,①鈴木応介,17:40,18:30,
2025-03-02,日,朝送り,只津,溝口,車,707,なし,①鈴木応介,7:40,8:40,
2025-03-03,月,夕迎え,只津,溝口,車,707,なし,①林夏渚 ②林大希 ③溝口一花 ④入矢瑠々子 ⑤園田葵 ⑥園田柚真,17:40,18:40,
2025-03-03,月,朝送り,只津,溝口,車,707,なし,①入矢瑠々子 ②溝口一花 ③林大希 ④林夏渚 ⑤園田葵 ⑥園田柚真,7:45,8:45,
2025-03-03,月,昼送り,只津,溝口,車,707,なし,①溝口一花 ②林夏渚,12:40,13:20,
2025-03-04,火,夕迎え,只津,溝口,車,707,なし,①入矢瑠々子 ②溝口一花 ③林大希 ④林夏渚 ⑤園田柚真 ⑥寺田菫 ⑦園田葵,17:30,18:40,
2025-03-04,火,朝送り,只津,溝口,車,707,なし,①林大希 ②入矢瑠々子 ③寺田菫 ④園田柚真 ⑤園田葵,7:40,8:45,
2025-03-04,火,昼送り,只津,溝口,車,707,なし,①溝口一花 ②林夏渚 ③入矢瑠々子,12:40,13:20,
2025-03-05,水,夕迎え,只津,溝口,車,707,なし,①寺田菫,17:35,18:40,
2025-03-05,水,朝送り,只津,溝口,車,707,なし,①寺田菫,7:50,8:45,
